p_swp,H2_swp,H2_dec,H2_mtc
0,Inf,Inf,NaN
0.025,5.9412668906044,7.31037774948291,NaN
0.05,4.2507545177861,5.23995506049618,NaN
0.075,3.51197184573597,4.33666323971826,NaN
0.1,3.07776309623611,3.80657767148271,3.07563687357075
0.125,2.78580895157913,3.45067473671891,2.77402112784993
0.15,2.5736210190179,3.19237424959586,2.57459279101562
0.175,2.41136723518382,2.99513368937388,2.39512528096637
0.2,2.28277821275988,2.83903257459486,2.28247591768454
0.225,2.17813223390243,2.71217227837456,2.1606760885509
0.25,2.0912181101668,2.60695358906661,2.09054911971359
0.275,2.01785887334773,2.51826784700339,2.02182552954414
0.3,1.95512929569388,2.44253846372431,1.95290408116182
0.325,1.90091221600319,2.37717760220972,1.90587499916237
0.35,1.85363296972465,2.32026103619858,1.85161388130343
0.375,1.8120931888019,2.27032474214675,1.80179642053666
0.4,1.77536283824512,2.22623276196536,1.76628270158542
0.425,1.74270782390119,2.18708865549569,1.74465263428251
0.45,1.71354010831137,2.1521744684206,1.70790007315217
0.475,1.68738250964507,2.12090768730653,1.69216859011028
0.5,1.66384333796913,2.09281022295531,1.66116720187706
0.525,1.64259777845898,2.06748564790601,1.64577216227209
0.55,1.62337399996432,2.04460221248081,1.62802432387224
0.575,1.60594263474212,2.02387998332395,1.60281117546735
0.6,1.59010870445492,2.0050809721114,1.58645215034333
0.625,1.57570534837189,1.98800146723571,1.57596628051412
0.65,1.56258889750163,1.97246601008382,1.56021526862924
0.675,1.55063496697576,1.95832261540672,1.55199775176112
0.7,1.5397353277088,1.94543894339051,1.54060507279315
0.725,1.52979538078848,1.93369920784955,1.52895445447844
0.75,1.52073210291207,1.92300165927664,1.52022621182909
0.775,1.51247236321109,1.91325652108453,1.51255641027512
0.8,1.50495153566675,1.90438428630044,1.50327177478883
0.825,1.49811234852151,1.89631430277229,1.49647731266309
0.85,1.49190392559616,1.888983593621,1.49249413305187
0.875,1.48628098454523,1.88233586221209,1.48801859761759
0.9,1.48120315897076,1.87632066252662,1.48239285560719
0.925,1.47663443848505,1.87089269405564,1.47639666457525
0.95,1.47254268200789,1.86601119837224,1.47326092215631
0.975,1.46889922228818,1.86163945723506,1.46889232357825
1,1.46567850804305,1.85774436283504,1.46567840227415
